x_Endpoint_ID,x_partner_ID,x_SiteID,x_ClientID,x_Reg_ID,x_agentMachineID
98b4eae8-074f-497c-a61d-7062f02e6f49,107036,1070363,1070363,2133483,98b4eae8074f497ca61d7062f02e6f49
f64864f3-f219-4850-9e26-4f428f9eb78e,108025,1080251,1080251,2190250,f64864f3f21948509e264f428f9eb78e
e348c7ae-ed26-42fc-a883-857ace88337c,108012,1080124,1080124,2165676,e348c7aeed2642fca883857ace88337c
4b622ae1-b6cb-4214-b175-f5ef2bf39eaf,107031,1070312,1070312,2128290,4b622ae1b6cb4214b175f5ef2bf39eaf
d9263a6c-6071-471e-9c0f-beac67a882a1,108034,1080344,1080344,2209738,d9263a6c6071471e9c0fbeac67a882a1
fa0cefa3-bcd2-42cc-a6e0-b6af0cda41b7,111001,1110013,1110013,2321423,fa0cefa3bcd242cca6e0b6af0cda41b7
5118beb4-c099-4bd5-ab1a-de4e219a1e5f,107037,1070372,1070372,2134150,5118beb4c0994bd5ab1ade4e219a1e5f
15314594-6e19-44e8-a3f2-f3bf72ad2375,108016,1080161,1080161,2172243,153145946e1944e8a3f2f3bf72ad2375
c1c6f542-fc80-44c5-852d-b0cfe3ac7b10,108022,1080221,1080221,2184158,c1c6f542fc8044c5852db0cfe3ac7b10
7e336d01-293e-40bb-8929-96ffd2eac92a,110005,1100051,1100051,2302144,7e336d01293e40bb892996ffd2eac92a
3214d4cb-582f-43d9-ad20-6c1577731847,110001,1100011,1100011,2267011,3214d4cb582f43d9ad206c1577731847
515cc104-72a1-40f9-8a44-1d4e4001a28f,108022,1080223,1080223,2185029,515cc10472a140f98a441d4e4001a28f
730cdad6-36e5-4fde-8f3c-82afa5cce25e,109005,1090053,1090053,2236402,730cdad636e54fde8f3c82afa5cce25e
e8e50857-0579-44ad-a349-36c229fcbdb1,110003,1100031,1100031,2284731,e8e50857057944ada34936c229fcbdb1
9ffd7679-f0b8-4a63-af81-bf3bf3e8a485,109003,1090033,1090033,2228725,9ffd7679f0b84a63af81bf3bf3e8a485
6bcafc7b-56af-41a2-800c-f0aaf25c395d,105040,1050401,1050401,2051752,6bcafc7b56af41a2800cf0aaf25c395d
ecfff9a9-85fd-4b32-8661-133d20aa5db4,106019,1060193,1060193,2082044,ecfff9a985fd4b328661133d20aa5db4
3efabb9b-946e-40d8-a715-8d1499a4834f,110002,1100024,1100024,2282792,3efabb9b946e40d8a7158d1499a4834f
624d87dd-638b-4716-8c90-9ce3d3270cbc,104055,1040552,1040552,2029379,624d87dd638b47168c909ce3d3270cbc
5a5f53c5-2c85-4c99-b8c4-eb49f8e7df36,111001,1110014,1110014,2328887,5a5f53c52c854c99b8c4eb49f8e7df36
